scenario,number of vent cells,number of occupants,occupants at risk,v_0x,v_0y,v_1x,v_1y,v_2x,v_2y,v_3x,v_3y,v_4x,v_4y,v_5x,v_5y,v_6x,v_6y,v_7x,v_7y,v_8x,v_8y,v_9x,v_9y,v_10x,v_10y,v_11x,v_11y,v_12x,v_12y,v_13x,v_13y,v_14x,v_14y,v_15x,v_15y,v_16x,v_16y,v_17x,v_17y,v_18x,v_18y,v_19x,v_19y,v_20x,v_20y,v_21x,v_21y,v_22x,v_22y,v_23x,v_23y,v_24x,v_24y,v_25x,v_25y,v_26x,v_26y,v_27x,v_27y,v_28x,v_28y,v_29x,v_29y,v_30x,v_30y,v_31x,v_31y,v_32x,v_32y,v_33x,v_33y,v_34x,v_34y,v_35x,v_35y,v_36x,v_36y,v_37x,v_37y,v_38x,v_38y,v_39x,v_39y,v_40x,v_40y,v_41x,v_41y,v_42x,v_42y,v_43x,v_43y,v_44x,v_44y,v_45x,v_45y,v_46x,v_46y,v_47x,v_47y,v_48x,v_48y,v_49x,v_49y,v_50x,v_50y,v_51x,v_51y,v_52x,v_52y,v_53x,v_53y,v_54x,v_54y,v_55x,v_55y,v_56x,v_56y,v_57x,v_57y,v_58x,v_58y,v_59x,v_59y,o_0x,o_0y,o_1x,o_1y,o_2x,o_2y,o_3x,o_3y,o_4x,o_4y,o_5x,o_5y,o_6x,o_6y,o_7x,o_7y,o_8x,o_8y,o_9x,o_9y,o_10x,o_10y,o_11x,o_11y,o_12x,o_12y,o_13x,o_13y,o_14x,o_14y,o_15x,o_15y,o_16x,o_16y,o_17x,o_17y,o_18x,o_18y,o_19x,o_19y,exposed_occupants,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
lab_small_10vents20occs_19state.txt,54,13,12,15,3,16,19,17,7,17,18,17,6,14,16,0,2,2,2,12,15,15,4,13,21,13,4,16,7,0,5,1,5,19,17,1,3,19,18,13,3,2,4,2,3,14,3,18,6,15,18,1,4,1,2,0,4,18,18,17,17,16,18,11,13,12,13,2,5,13,13,14,4,12,16,11,14,12,14,13,14,12,21,13,15,14,15,14,14,13,16,18,17,14,21,15,19,17,19,14,22,16,6,0,3,12,22,13,22,18,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16,25,14,25,16,8,16,28,16,5,14,5,12,5,6,5,8,11,6,18,10,25,14,8,10,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
lab_small_10vents20occs_1state.txt,56,17,17,3,24,2,24,13,10,18,5,13,9,12,9,7,9,16,19,6,9,15,7,8,9,14,10,6,10,17,6,15,6,19,6,16,5,18,20,17,5,5,2,17,20,1,23,16,4,12,10,5,1,6,2,16,7,6,1,17,4,4,2,18,6,4,1,14,7,18,4,8,10,14,9,16,21,19,5,14,6,16,20,18,21,15,22,2,23,14,21,14,19,15,19,14,22,16,6,14,20,15,20,1,24,15,21,17,21,7,10,16,22,3,23,-1,-1,-1,-1,-1,-1,-1,-1,16,25,6,25,14,25,10,21,12,5,6,5,8,18,8,11,16,11,16,18,12,14,6,14,10,11,8,25,12,18,14,18,14,28,-1,-1,-1,-1,-1,-1,17,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
lab_small_10vents20occs_20state.txt,57,17,17,4,29,3,29,4,28,3,28,18,26,17,26,18,25,17,25,16,25,16,26,10,21,7,14,5,2,6,2,9,21,5,29,8,21,6,13,2,21,4,2,3,21,4,3,8,18,6,15,8,15,0,13,1,13,5,13,7,13,0,14,1,14,2,14,10,18,5,14,8,14,6,14,7,15,9,15,2,13,9,20,6,3,8,16,9,16,10,20,10,16,9,18,5,3,3,20,8,19,9,19,10,19,10,15,2,20,4,20,8,20,4,21,5,28,-1,-1,-1,-1,-1,-1,8,28,12,25,6,21,6,5,8,11,14,8,10,14,12,14,16,14,12,21,14,14,10,11,14,21,8,25,12,18,14,18,14,28,-1,-1,-1,-1,-1,-1,17,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
lab_small_10vents20occs_21state.txt,57,13,12,4,29,3,29,4,28,3,28,18,26,17,26,18,25,17,25,16,25,16,26,10,21,7,14,5,2,6,2,9,21,5,29,8,21,6,13,2,21,4,2,3,21,4,3,8,18,6,15,8,15,0,13,1,13,5,13,7,13,0,14,1,14,2,14,10,18,5,14,8,14,6,14,7,15,9,15,2,13,9,20,6,3,8,16,9,16,10,20,10,16,9,18,5,3,3,20,8,19,9,19,10,19,10,15,2,20,4,20,8,20,4,21,5,28,-1,-1,-1,-1,-1,-1,8,28,6,8,16,5,12,8,6,5,6,11,16,11,6,18,12,21,10,11,12,18,14,18,10,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
lab_small_10vents20occs_22state.txt,57,18,18,4,29,3,29,4,28,3,28,18,26,17,26,18,25,17,25,16,25,16,26,10,21,7,14,5,2,6,2,9,21,5,29,8,21,6,13,2,21,4,2,3,21,4,3,8,18,6,15,8,15,0,13,1,13,5,13,7,13,0,14,1,14,2,14,10,18,5,14,8,14,6,14,7,15,9,15,2,13,9,20,6,3,8,16,9,16,10,20,10,16,9,18,5,3,3,20,8,19,9,19,10,19,10,15,2,20,4,20,8,20,4,21,5,28,-1,-1,-1,-1,-1,-1,12,28,8,28,16,28,12,25,16,5,12,5,8,8,8,5,6,11,16,11,16,18,10,25,16,14,10,11,14,21,8,25,14,18,14,28,-1,-1,-1,-1,18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
lab_small_10vents20occs_23state.txt,57,15,15,4,29,3,29,4,28,3,28,18,26,17,26,18,25,17,25,16,25,16,26,10,21,7,14,5,2,6,2,9,21,5,29,8,21,6,13,2,21,4,2,3,21,4,3,8,18,6,15,8,15,0,13,1,13,5,13,7,13,0,14,1,14,2,14,10,18,5,14,8,14,6,14,7,15,9,15,2,13,9,20,6,3,8,16,9,16,10,20,10,16,9,18,5,3,3,20,8,19,9,19,10,19,10,15,2,20,4,20,8,20,4,21,5,28,-1,-1,-1,-1,-1,-1,8,28,16,8,16,28,16,5,14,5,12,5,6,21,6,11,10,25,16,14,12,21,14,14,10,11,14,21,14,28,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,15,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
lab_small_10vents20occs_24state.txt,57,13,12,4,29,3,29,4,28,3,28,18,26,17,26,18,25,17,25,16,25,16,26,10,21,7,14,5,2,6,2,9,21,5,29,8,21,6,13,2,21,4,2,3,21,4,3,8,18,6,15,8,15,0,13,1,13,5,13,7,13,0,14,1,14,2,14,10,18,5,14,8,14,6,14,7,15,9,15,2,13,9,20,6,3,8,16,9,16,10,20,10,16,9,18,5,3,3,20,8,19,9,19,10,19,10,15,2,20,4,20,8,20,4,21,5,28,-1,-1,-1,-1,-1,-1,8,28,6,25,6,8,6,28,12,8,6,21,8,8,10,5,6,11,16,21,6,18,12,21,10,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
lab_small_10vents20occs_25state.txt,57,17,17,4,29,3,29,4,28,3,28,18,26,17,26,18,25,17,25,16,25,16,26,10,21,7,14,5,2,6,2,9,21,5,29,8,21,6,13,2,21,4,2,3,21,4,3,8,18,6,15,8,15,0,13,1,13,5,13,7,13,0,14,1,14,2,14,10,18,5,14,8,14,6,14,7,15,9,15,2,13,9,20,6,3,8,16,9,16,10,20,10,16,9,18,5,3,3,20,8,19,9,19,10,19,10,15,2,20,4,20,8,20,4,21,5,28,-1,-1,-1,-1,-1,-1,12,28,6,25,14,25,16,8,6,8,6,28,16,28,12,8,8,5,6,11,8,11,16,11,16,18,10,25,12,14,10,11,14,18,-1,-1,-1,-1,-1,-1,17,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
lab_small_10vents20occs_26state.txt,57,15,14,4,29,3,29,4,28,3,28,18,26,17,26,18,25,17,25,16,25,16,26,10,21,7,14,5,2,6,2,9,21,5,29,8,21,6,13,2,21,4,2,3,21,4,3,8,18,6,15,8,15,0,13,1,13,5,13,7,13,0,14,1,14,2,14,10,18,5,14,8,14,6,14,7,15,9,15,2,13,9,20,6,3,8,16,9,16,10,20,10,16,9,18,5,3,3,20,8,19,9,19,10,19,10,15,2,20,4,20,8,20,4,21,5,28,-1,-1,-1,-1,-1,-1,6,25,6,8,6,28,12,8,8,8,6,5,10,5,6,18,14,8,10,14,12,14,14,14,12,18,14,28,10,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
lab_small_10vents20occs_27state.txt,57,13,13,4,29,3,29,4,28,3,28,18,26,17,26,18,25,17,25,16,25,16,26,10,21,7,14,5,2,6,2,9,21,5,29,8,21,6,13,2,21,4,2,3,21,4,3,8,18,6,15,8,15,0,13,1,13,5,13,7,13,0,14,1,14,2,14,10,18,5,14,8,14,6,14,7,15,9,15,2,13,9,20,6,3,8,16,9,16,10,20,10,16,9,18,5,3,3,20,8,19,9,19,10,19,10,15,2,20,4,20,8,20,4,21,5,28,-1,-1,-1,-1,-1,-1,14,25,6,28,16,28,14,5,12,11,12,8,6,21,8,5,6,11,16,11,14,8,8,25,14,18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
lab_small_10vents20occs_28state.txt,57,14,13,4,29,3,29,4,28,3,28,18,26,17,26,18,25,17,25,16,25,16,26,10,21,7,14,5,2,6,2,9,21,5,29,8,21,6,13,2,21,4,2,3,21,4,3,8,18,6,15,8,15,0,13,1,13,5,13,7,13,0,14,1,14,2,14,10,18,5,14,8,14,6,14,7,15,9,15,2,13,9,20,6,3,8,16,9,16,10,20,10,16,9,18,5,3,3,20,8,19,9,19,10,19,10,15,2,20,4,20,8,20,4,21,5,28,-1,-1,-1,-1,-1,-1,8,28,6,25,16,5,12,11,6,21,6,5,6,11,8,11,16,18,6,18,14,8,12,21,10,11,12,18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
lab_small_10vents20occs_29state.txt,57,13,13,4,29,3,29,4,28,3,28,18,26,17,26,18,25,17,25,16,25,16,26,10,21,7,14,5,2,6,2,9,21,5,29,8,21,6,13,2,21,4,2,3,21,4,3,8,18,6,15,8,15,0,13,1,13,5,13,7,13,0,14,1,14,2,14,10,18,5,14,8,14,6,14,7,15,9,15,2,13,9,20,6,3,8,16,9,16,10,20,10,16,9,18,5,3,3,20,8,19,9,19,10,19,10,15,2,20,4,20,8,20,4,21,5,28,-1,-1,-1,-1,-1,-1,12,28,16,28,12,5,12,11,8,8,10,5,8,11,10,25,14,8,14,14,8,25,12,18,14,28,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
lab_small_10vents20occs_2state.txt,56,15,14,3,24,2,24,13,10,18,5,13,9,12,9,7,9,16,19,6,9,15,7,8,9,14,10,6,10,17,6,15,6,19,6,16,5,18,20,17,5,5,2,17,20,1,23,16,4,12,10,5,1,6,2,16,7,6,1,17,4,4,2,18,6,4,1,14,7,18,4,8,10,14,9,16,21,19,5,14,6,16,20,18,21,15,22,2,23,14,21,14,19,15,19,14,22,16,6,14,20,15,20,1,24,15,21,17,21,7,10,16,22,3,23,-1,-1,-1,-1,-1,-1,-1,-1,6,8,6,28,16,28,14,5,12,5,12,11,8,21,6,11,8,11,16,18,6,18,10,14,12,14,16,14,8,25,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
lab_small_10vents20occs_30state.txt,53,14,13,11,29,12,28,11,28,10,28,9,28,8,28,10,27,3,27,9,26,4,26,2,26,10,29,2,27,8,26,6,24,2,24,11,20,15,3,0,23,5,24,9,27,10,26,17,16,1,23,4,24,12,29,5,23,14,2,13,2,0,24,13,3,14,3,3,26,16,16,8,27,4,27,17,17,10,18,9,20,15,2,2,23,18,16,10,20,16,17,18,17,9,18,11,18,11,19,9,19,10,19,1,24,4,23,6,23,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16,5,14,5,12,5,14,11,8,8,8,21,16,11,16,18,6,18,10,14,16,14,12,21,8,25,14,18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
lab_small_10vents20occs_31state.txt,53,16,14,11,29,12,28,11,28,10,28,9,28,8,28,10,27,3,27,9,26,4,26,2,26,10,29,2,27,8,26,6,24,2,24,11,20,15,3,0,23,5,24,9,27,10,26,17,16,1,23,4,24,12,29,5,23,14,2,13,2,0,24,13,3,14,3,3,26,16,16,8,27,4,27,17,17,10,18,9,20,15,2,2,23,18,16,10,20,16,17,18,17,9,18,11,18,11,19,9,19,10,19,1,24,4,23,6,23,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,14,25,6,28,16,5,10,21,14,5,12,5,6,5,16,11,16,18,10,25,14,8,12,14,16,14,10,11,14,18,10,8,-1,-1,-1,-1,-1,-1,-1,-1,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
lab_small_10vents20occs_32state.txt,53,14,12,11,29,12,28,11,28,10,28,9,28,8,28,10,27,3,27,9,26,4,26,2,26,10,29,2,27,8,26,6,24,2,24,11,20,15,3,0,23,5,24,9,27,10,26,17,16,1,23,4,24,12,29,5,23,14,2,13,2,0,24,13,3,14,3,3,26,16,16,8,27,4,27,17,17,10,18,9,20,15,2,2,23,18,16,10,20,16,17,18,17,9,18,11,18,11,19,9,19,10,19,1,24,4,23,6,23,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,28,12,11,14,11,8,21,8,18,6,18,10,25,10,14,12,21,10,11,8,25,14,18,14,28,10,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
lab_small_10vents20occs_33state.txt,53,15,14,11,29,12,28,11,28,10,28,9,28,8,28,10,27,3,27,9,26,4,26,2,26,10,29,2,27,8,26,6,24,2,24,11,20,15,3,0,23,5,24,9,27,10,26,17,16,1,23,4,24,12,29,5,23,14,2,13,2,0,24,13,3,14,3,3,26,16,16,8,27,4,27,17,17,10,18,9,20,15,2,2,23,18,16,10,20,16,17,18,17,9,18,11,18,11,19,9,19,10,19,1,24,4,23,6,23,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16,25,6,25,12,25,12,5,12,11,8,21,10,5,8,11,10,25,10,14,12,14,16,14,6,14,10,11,14,28,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
lab_small_10vents20occs_34state.txt,53,15,15,11,29,12,28,11,28,10,28,9,28,8,28,10,27,3,27,9,26,4,26,2,26,10,29,2,27,8,26,6,24,2,24,11,20,15,3,0,23,5,24,9,27,10,26,17,16,1,23,4,24,12,29,5,23,14,2,13,2,0,24,13,3,14,3,3,26,16,16,8,27,4,27,17,17,10,18,9,20,15,2,2,23,18,16,10,20,16,17,18,17,9,18,11,18,11,19,9,19,10,19,1,24,4,23,6,23,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16,8,6,8,12,25,14,5,12,11,12,8,8,5,6,11,16,11,16,18,8,14,12,14,10,11,14,21,10,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,15,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
